category,sub_category,total_sales,total_profit,profit_rank_in_category
Furniture,Chairs,328449.13,26590.15,1
Furniture,Furnishings,91705.12,13059.25,2
Furniture,Bookcases,114880.05,-3472.56,3
Furniture,Tables,206965.68,-17725.59,4
"Office Supplies",Paper,78479.24,34053.34,1
"Office Supplies",Binders,203412.77,30221.64,2
"Office Supplies",Storage,223843.59,21279.05,3
"Office Supplies",Appliances,107532.14,18138.07,4
"Office Supplies",Envelopes,16476.38,6964.10,5
"Office Supplies",Art,27118.80,6527.96,6
"Office Supplies",Labels,12486.30,5546.18,7
"Office Supplies",Fasteners,3024.25,949.53,8
"Office Supplies",Supplies,46673.52,-1188.99,9
Technology,Copiers,149528.01,55617.90,1
Technology,Phones,330007.10,44516.25,2
Technology,Accessories,167380.31,41936.78,3
Technology,Machines,189238.68,3384.73,4
